수요월,광고집중시작,광고집중종료,예상계약,예산강도,근거
2025-01,2024-09,2024-10,50.2,0.99,2025-01 돌 수요(예상 계약 50.2건)를 잡으려면 2024-09~2024-10에 광고 집중.
2025-02,2024-10,2024-11,50.5,1.0,2025-02 돌 수요(예상 계약 50.5건)를 잡으려면 2024-10~2024-11에 광고 집중.
2025-03,2024-11,2024-12,49.9,0.99,2025-03 돌 수요(예상 계약 49.9건)를 잡으려면 2024-11~2024-12에 광고 집중.
2025-04,2024-12,2025-01,48.4,0.96,2025-04 돌 수요(예상 계약 48.4건)를 잡으려면 2024-12~2025-01에 광고 집중.
2025-05,2025-01,2025-02,46.3,0.92,2025-05 돌 수요(예상 계약 46.3건)를 잡으려면 2025-01~2025-02에 광고 집중.
2025-06,2025-02,2025-03,44.3,0.88,2025-06 돌 수요(예상 계약 44.3건)를 잡으려면 2025-02~2025-03에 광고 집중.
2025-07,2025-03,2025-04,42.8,0.85,2025-07 돌 수요(예상 계약 42.8건)를 잡으려면 2025-03~2025-04에 광고 집중.
2025-08,2025-04,2025-05,42.2,0.83,2025-08 돌 수요(예상 계약 42.2건)를 잡으려면 2025-04~2025-05에 광고 집중.
2025-09,2025-05,2025-06,42.5,0.84,2025-09 돌 수요(예상 계약 42.5건)를 잡으려면 2025-05~2025-06에 광고 집중.
2025-10,2025-06,2025-07,43.7,0.87,2025-10 돌 수요(예상 계약 43.7건)를 잡으려면 2025-06~2025-07에 광고 집중.
2025-11,2025-07,2025-08,45.4,0.9,2025-11 돌 수요(예상 계약 45.4건)를 잡으려면 2025-07~2025-08에 광고 집중.
2025-12,2025-08,2025-09,47.0,0.93,2025-12 돌 수요(예상 계약 47.0건)를 잡으려면 2025-08~2025-09에 광고 집중.
2026-01,2025-09,2025-10,48.2,0.95,2026-01 돌 수요(예상 계약 48.2건)를 잡으려면 2025-09~2025-10에 광고 집중.
2026-02,2025-10,2025-11,48.5,0.96,2026-02 돌 수요(예상 계약 48.5건)를 잡으려면 2025-10~2025-11에 광고 집중.
2026-03,2025-11,2025-12,47.9,0.95,2026-03 돌 수요(예상 계약 47.9건)를 잡으려면 2025-11~2025-12에 광고 집중.
2026-04,2025-12,2026-01,46.4,0.92,2026-04 돌 수요(예상 계약 46.4건)를 잡으려면 2025-12~2026-01에 광고 집중.
2026-05,2026-01,2026-02,44.5,0.88,2026-05 돌 수요(예상 계약 44.5건)를 잡으려면 2026-01~2026-02에 광고 집중.
2026-06,2026-02,2026-03,42.5,0.84,2026-06 돌 수요(예상 계약 42.5건)를 잡으려면 2026-02~2026-03에 광고 집중.
2026-07,2026-03,2026-04,41.1,0.81,2026-07 돌 수요(예상 계약 41.1건)를 잡으려면 2026-03~2026-04에 광고 집중.
2026-08,2026-04,2026-05,40.5,0.8,2026-08 돌 수요(예상 계약 40.5건)를 잡으려면 2026-04~2026-05에 광고 집중.
2026-09,2026-05,2026-06,40.8,0.81,2026-09 돌 수요(예상 계약 40.8건)를 잡으려면 2026-05~2026-06에 광고 집중.
2026-10,2026-06,2026-07,42.0,0.83,2026-10 돌 수요(예상 계약 42.0건)를 잡으려면 2026-06~2026-07에 광고 집중.
2026-11,2026-07,2026-08,43.6,0.86,2026-11 돌 수요(예상 계약 43.6건)를 잡으려면 2026-07~2026-08에 광고 집중.
2026-12,2026-08,2026-09,45.2,0.89,2026-12 돌 수요(예상 계약 45.2건)를 잡으려면 2026-08~2026-09에 광고 집중.
2027-01,2026-09,2026-10,45.8,0.91,2027-01 돌 수요(예상 계약 45.8건)를 잡으려면 2026-09~2026-10에 광고 집중.
2027-02,2026-10,2026-11,46.1,0.91,2027-02 돌 수요(예상 계약 46.1건)를 잡으려면 2026-10~2026-11에 광고 집중.
2027-03,2026-11,2026-12,45.5,0.9,2027-03 돌 수요(예상 계약 45.5건)를 잡으려면 2026-11~2026-12에 광고 집중.
2027-04,2026-12,2027-01,44.1,0.87,2027-04 돌 수요(예상 계약 44.1건)를 잡으려면 2026-12~2027-01에 광고 집중.
2027-05,2027-01,2027-02,42.2,0.84,2027-05 돌 수요(예상 계약 42.2건)를 잡으려면 2027-01~2027-02에 광고 집중.
2027-06,2027-02,2027-03,40.4,0.8,2027-06 돌 수요(예상 계약 40.4건)를 잡으려면 2027-02~2027-03에 광고 집중.
2027-07,2027-03,2027-04,39.0,0.77,2027-07 돌 수요(예상 계약 39.0건)를 잡으려면 2027-03~2027-04에 광고 집중.
2027-08,2027-04,2027-05,38.5,0.76,2027-08 돌 수요(예상 계약 38.5건)를 잡으려면 2027-04~2027-05에 광고 집중.
2027-09,2027-05,2027-06,38.8,0.77,2027-09 돌 수요(예상 계약 38.8건)를 잡으려면 2027-05~2027-06에 광고 집중.
2027-10,2027-06,2027-07,39.9,0.79,2027-10 돌 수요(예상 계약 39.9건)를 잡으려면 2027-06~2027-07에 광고 집중.
2027-11,2027-07,2027-08,41.4,0.82,2027-11 돌 수요(예상 계약 41.4건)를 잡으려면 2027-07~2027-08에 광고 집중.
2027-12,2027-08,2027-09,42.9,0.85,2027-12 돌 수요(예상 계약 42.9건)를 잡으려면 2027-08~2027-09에 광고 집중.
2028-01,2027-09,2027-10,43.5,0.86,2028-01 돌 수요(예상 계약 43.5건)를 잡으려면 2027-09~2027-10에 광고 집중.
2028-02,2027-10,2027-11,43.8,0.87,2028-02 돌 수요(예상 계약 43.8건)를 잡으려면 2027-10~2027-11에 광고 집중.
