연락우선순위,공간명,지역,공간유형,컨셉카테고리,웨딩적합도,돌상적합도,협업가능성,예상고객층,추천웨딩컨셉,추천돌상컨셉,필요한연출요소,컬러팔레트,레퍼런스키워드,제안서컨셉문구,리스크
1,양산 독채스테이마당,경남 양산,독채식당,프라이빗 독채형,81,93,83,"온전한 단독대관·프라이버시 중시, 프리미엄 소규모",독채 프라이빗 웨딩 | 단독대관 하우스웨딩 | 풀데이 대관 연출,단독 프라이빗 돌상 | 풀데이 패밀리 돌잔치 | 룸 단독 돌상,"플라워: 공간 톤에 맞춘 맞춤형, 동선 따라 포인트 분산 연출 | 테이블: 공간 전체 큐레이션, 통일된 톤 식기·린넨, 룸별 세팅 | 의자: 공간 톤 맞춤 우드/패브릭 체어, 통일 세트 | 포토존: 단독 공간 시그니처월, 입구 웰컴 사이니지, 룸별 무드존, 프라이빗 가족존 | 우천 대비 실내 대체동선/타프 준비 | 단독 룸 기준 룸별 세팅","아이보리, 웜화이트, 그레이지, 우드","독채웨딩, 단독대관, 프라이빗하우스, 풀데이대관, 프리미엄돌",오직 한 가족을 위한 하루. 공간 전체를 단독으로 큐레이션하는 프라이빗 예식·돌잔치.,대관료 단가 높음 | 단독대관 최소보장 매출 협의 | 캐파 한계 | 케이터링 반입
2,팔공산 그린가든카페,대구 팔공산,정원카페,정원형,81,64,81,"자연스러운 야외·낮 예식을 원하는 30대 초중반, 스몰웨딩·가족 중심 돌잔치",화이트앤그린 가든웨딩 | 유러피안 가든파티 | 내추럴 우드 스타일 | 낮 예식,야외 돌상 | 내추럴 그린 돌상 | 피크닉형 돌잔치 | 우드앤그린 베이비파티,"플라워: 내추럴 가든 스타일 — 유칼립투스·라넌큘러스·작약, 흐드러진 비정형 부케 | 테이블: 원목 롱테이블, 린넨 러너, 글라스 캔들, 화이트 도자 식기 | 의자: 내추럴 우드 체어 / 치아바리, 잔디용 폴딩 우드체어 | 포토존: 생화 플라워 아치, 잔디 위 러그+소파, 갈런드 백드롭, 우드 사인보드 | 통창 자연광 활용 — 별도 조명 최소화 | 우천 대비 실내 대체동선/타프 준비","화이트, 세이지그린, 아이보리, 연베이지","가든웨딩, 내추럴웨딩, 화이트앤그린, 야외돌상, 피크닉돌",햇살과 초록이 식장이 되는 곳. 자연 그대로의 낮 예식과 야외 돌상을 제안합니다.,우천 시 대체공간 필요 | 더위/추위 등 날씨 | 벌레·잔디 관리 | 음향장비 야외 세팅
3,영덕 오션테라스,경북 영덕,오션뷰카페,오션뷰형,81,64,81,"리조트 감성·여행지 무드를 원하는 고객, 하객 적은 데스티네이션형",선셋 웨딩 | 리조트 스타일 | 화이트 패브릭 스타일링 | 블루앤아이보리 | 미니멀 플라워,리조트형 돌잔치 | 화이트앤블루 돌상 | 오션뷰 미니멀 돌상,"플라워: 미니멀·바람에 어울리는 가벼운 라인 — 팜프라스·화이트 단색 위주 | 테이블: 화이트 패브릭, 글라스·아크릴 소품, 캔들, 라탄 포인트 | 의자: 화이트 아크릴·고스트 체어 / 라탄·우드 체어 | 포토존: 수평선 패브릭 드레이프, 화이트 아치, 라탄 소파 세트, 선셋 실루엣존 | 통창 자연광 활용 — 별도 조명 최소화 | 일몰 시간표 기준 타임라인 (선셋 연출)","화이트, 아이보리, 오션블루, 샌드베이지","선셋웨딩, 오션뷰웨딩, 리조트돌, 화이트패브릭, 미니멀플라워",수평선과 노을이 배경이 되는 예식. 리조트에 온 듯한 오션뷰 돌잔치를 제안합니다.,해풍으로 패브릭·플라워 흔들림 | 일몰 시간 의존(타임 압박) | 역광 노출 | 염분·습도
4,안동 숲속산방,경북 안동,숲속카페,숲속/자연형,81,64,81,"프라이빗·힐링 무드, 비일상 경험을 원하는 감성 고객",포레스트 웨딩 | 그린앤브라운 우디 | 보태니컬 연출 | 낮은 조도 무드,숲속 내추럴 돌상 | 우드앤모스 돌상 | 보태니컬 베이비파티,"플라워: 보태니컬·이끼·고사리 등 야생감, 어두운 톤 그린 풍성하게 | 테이블: 러프 우드, 무광 식기, 앰버 글라스, 캔들 다수 | 의자: 러프 우드 벤치 / 빈티지 우드 체어 | 포토존: 모스·고사리 그린월, 나무 사이 빛내림존, 앰버 캔들 테이블, 우드 슬랩 사인 | 통창 자연광 활용 — 별도 조명 최소화","딥그린, 모스, 우드브라운, 아이보리","포레스트웨딩, 숲웨딩, 보태니컬, 우드앤모스, 자연돌상",도심을 벗어난 숲의 정적. 빛내림 아래 보태니컬 무드의 예식과 돌상을 제안합니다.,조도 낮아 촬영 광량 보강 필요 | 벌레·습기 | 진입로·주차 험로 | 통신 음영
5,수수밀소,대구 가창,한옥카페,한옥/고택형,81,93,74,"전통·격식과 모던 감성을 함께 원하는 고객, 양가 어른 중시 가정",모던 한옥 웨딩 | 전통 한옥 웨딩 | 한복 스냅 | 마당 세리머니,낮은 좌식 돌상 | 전통 돌상(색동·돌잡이) | 보자기 연출 | 모던 한복 돌스냅,"플라워: 절제된 동양란·매화·목련, 소담한 화기 중심 (과한 양식 플라워 지양) | 테이블: 좌식 또는 낮은 소반, 유기·도자기, 보자기 러너, 한지 소품 | 의자: 방석·좌식 / 낮은 우드 벤치, 어르신용 등받이 좌식 | 포토존: 창호·대청마루 백드롭, 보자기·도자기 오브제, 한지 등 조명, 매화·목련 가지 | 통창 자연광 활용 — 별도 조명 최소화 | 우천 대비 실내 대체동선/타프 준비 | 좌식 보조석(어르신·임산부) 및 화기 제한 확인 | 단독 룸 기준 룸별 세팅","먹색, 한지화이트, 오방색 포인트, 자연목","한옥웨딩, 고택웨딩, 한복스냅, 좌식돌상, 보자기연출, 도자기오브제",기와와 마루가 들려주는 시간. 전통의 격과 모던 한복 감성을 한 자리에 담습니다.,좌식 불편(어르신·임산부) | 동선 협소 | 문화재형 공간 화기/촛불 제한 | 주차
6,남해 바다정원,경남 남해,오션뷰카페,오션뷰형,81,55,81,"리조트 감성·여행지 무드를 원하는 고객, 하객 적은 데스티네이션형",선셋 웨딩 | 리조트 스타일 | 화이트 패브릭 스타일링 | 블루앤아이보리 | 미니멀 플라워,리조트형 돌잔치 | 화이트앤블루 돌상 | 오션뷰 미니멀 돌상,"플라워: 미니멀·바람에 어울리는 가벼운 라인 — 팜프라스·화이트 단색 위주 | 테이블: 화이트 패브릭, 글라스·아크릴 소품, 캔들, 라탄 포인트 | 의자: 화이트 아크릴·고스트 체어 / 라탄·우드 체어 | 포토존: 수평선 패브릭 드레이프, 화이트 아치, 라탄 소파 세트, 선셋 실루엣존 | 일몰 시간표 기준 타임라인 (선셋 연출) | 우천 대비 실내 대체동선/타프 준비","화이트, 아이보리, 오션블루, 샌드베이지","선셋웨딩, 오션뷰웨딩, 리조트돌, 화이트패브릭, 미니멀플라워",수평선과 노을이 배경이 되는 예식. 리조트에 온 듯한 오션뷰 돌잔치를 제안합니다.,해풍으로 패브릭·플라워 흔들림 | 일몰 시간 의존(타임 압박) | 역광 노출 | 염분·습도
7,평창 목장카페 들풀,강원 평창,정원카페,정원형,81,55,81,"자연스러운 야외·낮 예식을 원하는 30대 초중반, 스몰웨딩·가족 중심 돌잔치",화이트앤그린 가든웨딩 | 유러피안 가든파티 | 내추럴 우드 스타일 | 낮 예식,야외 돌상 | 내추럴 그린 돌상 | 피크닉형 돌잔치 | 우드앤그린 베이비파티,"플라워: 내추럴 가든 스타일 — 유칼립투스·라넌큘러스·작약, 흐드러진 비정형 부케 | 테이블: 원목 롱테이블, 린넨 러너, 글라스 캔들, 화이트 도자 식기 | 의자: 내추럴 우드 체어 / 치아바리, 잔디용 폴딩 우드체어 | 포토존: 생화 플라워 아치, 잔디 위 러그+소파, 갈런드 백드롭, 우드 사인보드 | 우천 대비 실내 대체동선/타프 준비","화이트, 세이지그린, 아이보리, 연베이지","가든웨딩, 내추럴웨딩, 화이트앤그린, 야외돌상, 피크닉돌",햇살과 초록이 식장이 되는 곳. 자연 그대로의 낮 예식과 야외 돌상을 제안합니다.,우천 시 대체공간 필요 | 더위/추위 등 날씨 | 벌레·잔디 관리 | 음향장비 야외 세팅
8,경주 고택 다원,경북 경주,한옥카페,한옥/고택형,73,55,81,"전통·격식과 모던 감성을 함께 원하는 고객, 양가 어른 중시 가정",모던 한옥 웨딩 | 전통 한옥 웨딩 | 한복 스냅 | 마당 세리머니,낮은 좌식 돌상 | 전통 돌상(색동·돌잡이) | 보자기 연출 | 모던 한복 돌스냅,"플라워: 절제된 동양란·매화·목련, 소담한 화기 중심 (과한 양식 플라워 지양) | 테이블: 좌식 또는 낮은 소반, 유기·도자기, 보자기 러너, 한지 소품 | 의자: 방석·좌식 / 낮은 우드 벤치, 어르신용 등받이 좌식 | 포토존: 창호·대청마루 백드롭, 보자기·도자기 오브제, 한지 등 조명, 매화·목련 가지 | 우천 대비 실내 대체동선/타프 준비 | 좌식 보조석(어르신·임산부) 및 화기 제한 확인","먹색, 한지화이트, 오방색 포인트, 자연목","한옥웨딩, 고택웨딩, 한복스냅, 좌식돌상, 보자기연출, 도자기오브제",기와와 마루가 들려주는 시간. 전통의 격과 모던 한복 감성을 한 자리에 담습니다.,좌식 불편(어르신·임산부) | 동선 협소 | 문화재형 공간 화기/촛불 제한 | 주차
9,강릉 안목 글라스하우스,강원 강릉,오션뷰카페,오션뷰형,81,64,71,"리조트 감성·여행지 무드를 원하는 고객, 하객 적은 데스티네이션형",선셋 웨딩 | 리조트 스타일 | 화이트 패브릭 스타일링 | 블루앤아이보리 | 미니멀 플라워,리조트형 돌잔치 | 화이트앤블루 돌상 | 오션뷰 미니멀 돌상,"플라워: 미니멀·바람에 어울리는 가벼운 라인 — 팜프라스·화이트 단색 위주 | 테이블: 화이트 패브릭, 글라스·아크릴 소품, 캔들, 라탄 포인트 | 의자: 화이트 아크릴·고스트 체어 / 라탄·우드 체어 | 포토존: 수평선 패브릭 드레이프, 화이트 아치, 라탄 소파 세트, 선셋 실루엣존 | 통창 자연광 활용 — 별도 조명 최소화 | 일몰 시간표 기준 타임라인 (선셋 연출)","화이트, 아이보리, 오션블루, 샌드베이지","선셋웨딩, 오션뷰웨딩, 리조트돌, 화이트패브릭, 미니멀플라워",수평선과 노을이 배경이 되는 예식. 리조트에 온 듯한 오션뷰 돌잔치를 제안합니다.,해풍으로 패브릭·플라워 흔들림 | 일몰 시간 의존(타임 압박) | 역광 노출 | 염분·습도
10,기장 선셋클리프,부산 기장,오션뷰카페,오션뷰형,81,69,66,"리조트 감성·여행지 무드를 원하는 고객, 하객 적은 데스티네이션형",선셋 웨딩 | 리조트 스타일 | 화이트 패브릭 스타일링 | 블루앤아이보리 | 미니멀 플라워,리조트형 돌잔치 | 화이트앤블루 돌상 | 오션뷰 미니멀 돌상,"플라워: 미니멀·바람에 어울리는 가벼운 라인 — 팜프라스·화이트 단색 위주 | 테이블: 화이트 패브릭, 글라스·아크릴 소품, 캔들, 라탄 포인트 | 의자: 화이트 아크릴·고스트 체어 / 라탄·우드 체어 | 포토존: 수평선 패브릭 드레이프, 화이트 아치, 라탄 소파 세트, 선셋 실루엣존 | 통창 자연광 활용 — 별도 조명 최소화 | 일몰 시간표 기준 타임라인 (선셋 연출)","화이트, 아이보리, 오션블루, 샌드베이지","선셋웨딩, 오션뷰웨딩, 리조트돌, 화이트패브릭, 미니멀플라워",수평선과 노을이 배경이 되는 예식. 리조트에 온 듯한 오션뷰 돌잔치를 제안합니다.,해풍으로 패브릭·플라워 흔들림 | 일몰 시간 의존(타임 압박) | 역광 노출 | 염분·습도
