연락우선순위,등급,공간명,지역,우선연락시점,한줄평가,적합이유,핵심이익(사장님),평일유휴제안,샘플촬영제안,DM문구,전화스크립트,제안서제목,추천상품명,예상판매상품,예상객단가(원)
1,A,양산 독채스테이마당,경남 양산,즉시 컨택 (1주 내) · 웨딩 성수기 대비 약 4개월 전 확보 목표,"경남 독채식당 · 프라이빗 독채형 — 웨딩 81/돌상 93, 협업 83 (A등급)","정원·마당·단독 프라이빗·주차 용이 등으로 프라이빗 독채형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 독채 프라이빗 웨딩, 단독대관 하우스웨딩 / 단독 프라이빗 돌상, 풀데이 패밀리 돌잔치.","평일 오전 11시~오후 4시의 유휴 시간대를 돌잔치 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 350만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '양산 독채스테이마당'의 돌잔치 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '양산 독채스테이마당' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 정원·마당·단독 프라이빗·주차 용이 분위기가 프라이빗 독채형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '양산 독채스테이마당' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 정원·마당·단독 프라이빗·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[양산 독채스테이마당] 프라이빗 독채형 웨딩·돌잔치 공간 상품화 제안,단독대관 프라이빗 웨딩·돌상,독채 풀데이 웨딩 | 프라이빗 돌상,3500000
2,B,팔공산 그린가든카페,대구 팔공산,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"대구 정원카페 · 정원형 — 웨딩 81/돌상 64, 협업 81 (B등급)","정원·마당·통창·주차 용이 등으로 정원형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 화이트앤그린 가든웨딩, 유러피안 가든파티 / 야외 돌상, 내추럴 그린 돌상.","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 250만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '팔공산 그린가든카페'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '팔공산 그린가든카페' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 정원·마당·통창·주차 용이 분위기가 정원형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '팔공산 그린가든카페' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 정원·마당·통창·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[팔공산 그린가든카페] 정원형 웨딩·돌잔치 공간 상품화 제안,가든 스몰웨딩·야외 돌상 패키지,가든 스몰웨딩 | 야외 돌상 대관 | 브라이덜 샤워,2500000
3,B,영덕 오션테라스,경북 영덕,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"경북 오션뷰카페 · 오션뷰형 — 웨딩 81/돌상 64, 협업 81 (B등급)","통창·오션뷰·주차 용이 등으로 오션뷰형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 선셋 웨딩, 리조트 스타일 / 리조트형 돌잔치, 화이트앤블루 돌상.","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 280만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '영덕 오션테라스'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '영덕 오션테라스' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 통창·오션뷰·주차 용이 분위기가 오션뷰형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '영덕 오션테라스' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 통창·오션뷰·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[영덕 오션테라스] 오션뷰형 웨딩·돌잔치 공간 상품화 제안,선셋 오션뷰 웨딩·리조트 돌상,선셋 스몰웨딩 | 리조트형 돌상 | 패밀리 화보,2800000
4,B,안동 숲속산방,경북 안동,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"경북 숲속카페 · 숲속/자연형 — 웨딩 81/돌상 64, 협업 81 (B등급)","통창·숲 뷰·주차 용이 등으로 숲속/자연형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 포레스트 웨딩, 그린앤브라운 우디 / 숲속 내추럴 돌상, 우드앤모스 돌상.","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 240만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '안동 숲속산방'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '안동 숲속산방' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 통창·숲 뷰·주차 용이 분위기가 숲속/자연형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '안동 숲속산방' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 통창·숲 뷰·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[안동 숲속산방] 숲속/자연형 웨딩·돌잔치 공간 상품화 제안,포레스트 힐링 웨딩·돌상,숲속 스몰웨딩 | 보태니컬 돌상,2400000
5,B,수수밀소,대구 가창,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"대구 한옥카페 · 한옥/고택형 — 웨딩 81/돌상 93, 협업 74 (B등급)","정원·마당·통창·한옥 분위기 등으로 한옥/고택형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 모던 한옥 웨딩, 전통 한옥 웨딩 / 낮은 좌식 돌상, 전통 돌상(색동·돌잡이).","평일 오전 11시~오후 4시의 유휴 시간대를 돌잔치 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 220만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '수수밀소'의 돌잔치 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '수수밀소' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 정원·마당·통창·한옥 분위기 분위기가 한옥/고택형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '수수밀소' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 정원·마당·통창·한옥 분위기이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[수수밀소] 한옥/고택형 웨딩·돌잔치 공간 상품화 제안,한옥 전통·모던 돌상 패키지,한옥 스몰웨딩 | 전통 좌식 돌상 | 한복 스냅,2200000
6,B,남해 바다정원,경남 남해,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"경남 오션뷰카페 · 오션뷰형 — 웨딩 81/돌상 55, 협업 81 (B등급)","정원·마당·오션뷰·주차 용이 등으로 오션뷰형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 선셋 웨딩, 리조트 스타일 / 리조트형 돌잔치, 화이트앤블루 돌상.","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 280만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '남해 바다정원'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '남해 바다정원' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 정원·마당·오션뷰·주차 용이 분위기가 오션뷰형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '남해 바다정원' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 정원·마당·오션뷰·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[남해 바다정원] 오션뷰형 웨딩·돌잔치 공간 상품화 제안,선셋 오션뷰 웨딩·리조트 돌상,선셋 스몰웨딩 | 리조트형 돌상 | 패밀리 화보,2800000
7,B,평창 목장카페 들풀,강원 평창,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"강원 정원카페 · 정원형 — 웨딩 81/돌상 55, 협업 81 (B등급)","정원·마당·주차 용이·야외 활용 등으로 정원형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 화이트앤그린 가든웨딩, 유러피안 가든파티 / 야외 돌상, 내추럴 그린 돌상.","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 250만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '평창 목장카페 들풀'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '평창 목장카페 들풀' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 정원·마당·주차 용이·야외 활용 분위기가 정원형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '평창 목장카페 들풀' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 정원·마당·주차 용이·야외 활용이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[평창 목장카페 들풀] 정원형 웨딩·돌잔치 공간 상품화 제안,가든 스몰웨딩·야외 돌상 패키지,가든 스몰웨딩 | 야외 돌상 대관 | 브라이덜 샤워,2500000
8,B,경주 고택 다원,경북 경주,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"경북 한옥카페 · 한옥/고택형 — 웨딩 73/돌상 55, 협업 81 (B등급)","정원·마당·한옥 분위기·주차 용이 등으로 한옥/고택형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 모던 한옥 웨딩, 전통 한옥 웨딩 / 낮은 좌식 돌상, 전통 돌상(색동·돌잡이).","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 220만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '경주 고택 다원'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '경주 고택 다원' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 정원·마당·한옥 분위기·주차 용이 분위기가 한옥/고택형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '경주 고택 다원' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 정원·마당·한옥 분위기·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[경주 고택 다원] 한옥/고택형 웨딩·돌잔치 공간 상품화 제안,한옥 전통·모던 돌상 패키지,한옥 스몰웨딩 | 전통 좌식 돌상 | 한복 스냅,2200000
9,B,강릉 안목 글라스하우스,강원 강릉,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"강원 오션뷰카페 · 오션뷰형 — 웨딩 81/돌상 64, 협업 71 (B등급)","통창·오션뷰·주차 용이 등으로 오션뷰형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 선셋 웨딩, 리조트 스타일 / 리조트형 돌잔치, 화이트앤블루 돌상.","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 280만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '강릉 안목 글라스하우스'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '강릉 안목 글라스하우스' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 통창·오션뷰·주차 용이 분위기가 오션뷰형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '강릉 안목 글라스하우스' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 통창·오션뷰·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[강릉 안목 글라스하우스] 오션뷰형 웨딩·돌잔치 공간 상품화 제안,선셋 오션뷰 웨딩·리조트 돌상,선셋 스몰웨딩 | 리조트형 돌상 | 패밀리 화보,2800000
10,B,기장 선셋클리프,부산 기장,2주 내 컨택 · 웨딩 성수기 대비 약 4개월 전 확보 목표,"부산 오션뷰카페 · 오션뷰형 — 웨딩 81/돌상 69, 협업 66 (B등급)","통창·오션뷰·주차 용이 등으로 오션뷰형 컨셉의 웨딩·돌잔치 연출에 적합합니다. 추천 컨셉: 선셋 웨딩, 리조트 스타일 / 리조트형 돌잔치, 화이트앤블루 돌상.","평일 오전 11시~오후 4시의 유휴 시간대를 웨딩 대관으로 전환해 비수기·평일 추가 매출을 만들 수 있습니다. 예상 객단가 약 280만원, 제이드가 송객·연출·운영을 전담하므로 사장님 추가 리스크는 거의 없습니다.",평일 오전 11시~오후 4시 사이 2~3시간 단위 돌잔치/스몰웨딩 대관. 평일 1~2건만 추가해도 월 매출이 의미있게 늘어납니다.,제이드 연출팀이 무료 샘플 촬영을 진행해 '기장 선셋클리프'의 웨딩 포텐셜을 콘텐츠로 만들어 드립니다. 사장님은 결과물을 인스타·네이버 홍보에 그대로 쓰실 수 있어요.,"안녕하세요 '기장 선셋클리프' 사장님, 웨딩·돌잔치 디렉팅을 하는 제이드컴퍼니입니다. 공간의 통창·오션뷰·주차 용이 분위기가 오션뷰형 웨딩·돌잔치에 정말 잘 어울려 연락드렸어요. 평일 유휴 시간대 대관 협업을 제안드리고 싶은데, 부담 없이 무료 샘플 촬영부터 함께 해보실 수 있을까요? 😊","[오프닝] 안녕하세요, '기장 선셋클리프' 사장님이실까요? 웨딩·돌잔치 디렉팅 업체 제이드컴퍼니입니다. [훅] 공간이 통창·오션뷰·주차 용이이 있어서 웨딩·돌잔치 손님들이 좋아하실 분위기더라고요. [제안] 저희가 평일 유휴 시간대에 손님을 모셔오고 연출·운영까지 맡는 대관 협업을 드리고 싶습니다. 사장님은 공간만 빌려주시면 추가 매출이 생기는 구조예요. [클로징] 먼저 무료 샘플 촬영으로 결과물을 보여드릴게요. 이번 주 중 잠깐 들러도 될까요?",[기장 선셋클리프] 오션뷰형 웨딩·돌잔치 공간 상품화 제안,선셋 오션뷰 웨딩·리조트 돌상,선셋 스몰웨딩 | 리조트형 돌상 | 패밀리 화보,2800000
