연락우선순위,등급,공간명,공간유형,지역,세부지역,주소,연락처,인스타,네이버리뷰,종합점수,웨딩적합도,돌상적합도,숨은공간,협업가능성,추천제안
1,A,양산 독채스테이마당,독채식당,경남,양산,경남 양산시,,,110,85.0,81,93,86,83,"평일 유휴시간 돌잔치 대관 제휴 — 야외 활용, 단독 프라이빗 강점으로 제안"
2,B,팔공산 그린가든카페,정원카페,대구,팔공산,대구 동구 팔공산로,,,160,78.6,81,64,86,81,평일 유휴시간 웨딩 대관 제휴 — 야외 활용 강점으로 제안
3,B,영덕 오션테라스,오션뷰카페,경북,영덕,경북 영덕군 해안로,,,140,78.6,81,64,86,81,"평일 유휴시간 웨딩 대관 제휴 — 야외 활용, 오션뷰 강점으로 제안"
4,B,안동 숲속산방,숲속카페,경북,안동,경북 안동시,,,70,78.6,81,64,86,81,평일 유휴시간 웨딩 대관 제휴 — 야외 활용 강점으로 제안
5,B,수수밀소,한옥카페,대구,가창,대구 달성군 가창면,053-000-0000,,210,77.3,81,93,61,74,"평일 유휴시간 돌잔치 대관 제휴 — 야외 활용, 단독 프라이빗, 한옥 무드 강점으로 제안"
6,B,남해 바다정원,오션뷰카페,경남,남해,경남 남해군,,,130,76.8,81,55,86,81,"평일 유휴시간 웨딩 대관 제휴 — 야외 활용, 오션뷰 강점으로 제안"
7,B,평창 목장카페 들풀,정원카페,강원,평창,강원 평창군,,,60,76.8,81,55,86,81,평일 유휴시간 웨딩 대관 제휴 — 야외 활용 강점으로 제안
8,B,경주 고택 다원,한옥카페,경북,경주,경북 경주시 교동,,,90,74.4,73,55,86,81,"평일 유휴시간 웨딩 대관 제휴 — 야외 활용, 한옥 무드 강점으로 제안"
9,B,강릉 안목 글라스하우스,오션뷰카페,강원,강릉,강원 강릉시 안목해변,,glass_house_gn,260,71.8,81,64,67,71,"평일 유휴시간 웨딩 대관 제휴 — 야외 활용, 오션뷰 강점으로 제안"
10,B,기장 선셋클리프,오션뷰카페,부산,기장,부산 기장군 일광,,sunset_cliff_busan,510,68.5,81,69,53,66,"평일 유휴시간 웨딩 대관 제휴 — 야외 활용, 오션뷰 강점으로 제안"
11,B,해운대 루프탑202,브런치카페,부산,해운대,부산 해운대구,,,300,67.4,58,58,78,76,평일 유휴시간 웨딩 대관 제휴 — 공간 분위기 강점으로 제안
12,B,통영 갤러리카페 물결,복합문화공간,경남,통영,경남 통영시,,,95,67.4,58,58,78,76,평일 유휴시간 웨딩 대관 제휴 — 공간 분위기 강점으로 제안
13,C,수성못 베이커리라운지,베이커리카페,대구,수성구,대구 수성구,,jade_bakery,420,62.7,64,63,57,65,평일 유휴시간 웨딩 대관 제휴 — 공간 분위기 강점으로 제안
