수요월,지역,출생월,출생아수,예상이벤트,예상계약,예상매출(원),신뢰도
2025-01,강원,2024-01,374,101.0,4.04,14137200,관측기반
2025-01,경남,2024-01,1176,317.5,12.7,44452800,관측기반
2025-01,경북,2024-01,855,230.8,9.23,32319000,관측기반
2025-01,대구,2024-01,962,259.7,10.39,36363600,관측기반
2025-01,부산,2024-01,1283,346.4,13.86,48497400,관측기반
2025-02,강원,2024-02,376,101.5,4.06,14212800,관측기반
2025-02,경남,2024-02,1183,319.4,12.78,44717400,관측기반
2025-02,경북,2024-02,861,232.5,9.3,32545800,관측기반
2025-02,대구,2024-02,968,261.4,10.45,36590400,관측기반
2025-02,부산,2024-02,1291,348.6,13.94,48799800,관측기반
2025-03,강원,2024-03,371,100.2,4.01,14023800,관측기반
2025-03,경남,2024-03,1168,315.4,12.61,44150400,관측기반
2025-03,경북,2024-03,849,229.2,9.17,32092200,관측기반
2025-03,대구,2024-03,955,257.8,10.31,36099000,관측기반
2025-03,부산,2024-03,1274,344.0,13.76,48157200,관측기반
2025-04,강원,2024-04,360,97.2,3.89,13608000,관측기반
2025-04,경남,2024-04,1132,305.6,12.23,42789600,관측기반
2025-04,경북,2024-04,823,222.2,8.89,31109400,관측기반
2025-04,대구,2024-04,926,250.0,10.0,35002800,관측기반
2025-04,부산,2024-04,1235,333.4,13.34,46683000,관측기반
2025-05,강원,2024-05,345,93.1,3.73,13041000,관측기반
2025-05,경남,2024-05,1085,292.9,11.72,41013000,관측기반
2025-05,경북,2024-05,789,213.0,8.52,29824200,관측기반
2025-05,대구,2024-05,887,239.5,9.58,33528600,관측기반
2025-05,부산,2024-05,1183,319.4,12.78,44717400,관측기반
2025-06,강원,2024-06,330,89.1,3.56,12474000,관측기반
2025-06,경남,2024-06,1038,280.3,11.21,39236400,관측기반
2025-06,경북,2024-06,755,203.8,8.15,28539000,관측기반
2025-06,대구,2024-06,849,229.2,9.17,32092200,관측기반
2025-06,부산,2024-06,1132,305.6,12.23,42789600,관측기반
2025-07,강원,2024-07,319,86.1,3.45,12058200,관측기반
2025-07,경남,2024-07,1003,270.8,10.83,37913400,관측기반
2025-07,경북,2024-07,729,196.8,7.87,27556200,관측기반
2025-07,대구,2024-07,820,221.4,8.86,30996000,관측기반
2025-07,부산,2024-07,1094,295.4,11.82,41353200,관측기반
2025-08,강원,2024-08,314,84.8,3.39,11869200,관측기반
2025-08,경남,2024-08,988,266.8,10.67,37346400,관측기반
2025-08,경북,2024-08,718,193.9,7.75,27140400,관측기반
2025-08,대구,2024-08,808,218.2,8.73,30542400,관측기반
2025-08,부산,2024-08,1078,291.1,11.64,40748400,관측기반
2025-09,강원,2024-09,317,85.6,3.42,11982600,관측기반
2025-09,경남,2024-09,996,268.9,10.76,37648800,관측기반
2025-09,경북,2024-09,724,195.5,7.82,27367200,관측기반
2025-09,대구,2024-09,815,220.0,8.8,30807000,관측기반
2025-09,부산,2024-09,1086,293.2,11.73,41050800,관측기반
2025-10,강원,2024-10,325,87.8,3.51,12285000,관측기반
2025-10,경남,2024-10,1024,276.5,11.06,38707200,관측기반
2025-10,경북,2024-10,744,200.9,8.04,28123200,관측기반
2025-10,대구,2024-10,837,226.0,9.04,31638600,관측기반
2025-10,부산,2024-10,1117,301.6,12.06,42222600,관측기반
2025-11,강원,2024-11,338,91.3,3.65,12776400,관측기반
2025-11,경남,2024-11,1063,287.0,11.48,40181400,관측기반
2025-11,경북,2024-11,773,208.7,8.35,29219400,관측기반
2025-11,대구,2024-11,869,234.6,9.39,32848200,관측기반
2025-11,부산,2024-11,1159,312.9,12.52,43810200,관측기반
2025-12,강원,2024-12,350,94.5,3.78,13230000,관측기반
2025-12,경남,2024-12,1101,297.3,11.89,41617800,관측기반
2025-12,경북,2024-12,801,216.3,8.65,30277800,관측기반
2025-12,대구,2024-12,901,243.3,9.73,34057800,관측기반
2025-12,부산,2024-12,1202,324.5,12.98,45435600,관측기반
2026-01,강원,2025-01,359,96.9,3.88,13570200,관측기반
2026-01,경남,2025-01,1129,304.8,12.19,42676200,관측기반
2026-01,경북,2025-01,821,221.7,8.87,31033800,관측기반
2026-01,대구,2025-01,923,249.2,9.97,34889400,관측기반
2026-01,부산,2025-01,1231,332.4,13.29,46531800,관측기반
2026-02,강원,2025-02,361,97.5,3.9,13645800,관측기반
2026-02,경남,2025-02,1136,306.7,12.27,42940800,관측기반
2026-02,경북,2025-02,826,223.0,8.92,31222800,관측기반
2026-02,대구,2025-02,929,250.8,10.03,35116200,관측기반
2026-02,부산,2025-02,1239,334.5,13.38,46834200,관측기반
2026-03,강원,2025-03,356,96.1,3.84,13456800,관측기반
2026-03,경남,2025-03,1121,302.7,12.11,42373800,관측기반
2026-03,경북,2025-03,815,220.0,8.8,30807000,관측기반
2026-03,대구,2025-03,917,247.6,9.9,34662600,관측기반
2026-03,부산,2025-03,1223,330.2,13.21,46229400,관측기반
2026-04,강원,2025-04,345,93.1,3.73,13041000,관측기반
2026-04,경남,2025-04,1087,293.5,11.74,41088600,관측기반
2026-04,경북,2025-04,790,213.3,8.53,29862000,관측기반
2026-04,대구,2025-04,889,240.0,9.6,33604200,관측기반
2026-04,부산,2025-04,1185,319.9,12.8,44793000,관측기반
2026-05,강원,2025-05,331,89.4,3.57,12511800,관측기반
2026-05,경남,2025-05,1041,281.1,11.24,39349800,관측기반
2026-05,경북,2025-05,757,204.4,8.18,28614600,관측기반
2026-05,대구,2025-05,852,230.0,9.2,32205600,관측기반
2026-05,부산,2025-05,1136,306.7,12.27,42940800,관측기반
2026-06,강원,2025-06,317,85.6,3.42,11982600,관측기반
2026-06,경남,2025-06,996,268.9,10.76,37648800,관측기반
2026-06,경북,2025-06,724,195.5,7.82,27367200,관측기반
2026-06,대구,2025-06,815,220.0,8.8,30807000,관측기반
2026-06,부산,2025-06,1087,293.5,11.74,41088600,관측기반
2026-07,강원,2025-07,306,82.6,3.3,11566800,관측기반
2026-07,경남,2025-07,962,259.7,10.39,36363600,관측기반
2026-07,경북,2025-07,700,189.0,7.56,26460000,관측기반
2026-07,대구,2025-07,787,212.5,8.5,29748600,관측기반
2026-07,부산,2025-07,1050,283.5,11.34,39690000,관측기반
2026-08,강원,2025-08,301,81.3,3.25,11377800,관측기반
2026-08,경남,2025-08,948,256.0,10.24,35834400,관측기반
