name,region,sub_area,category,address,phone,instagram_url,homepage,naver_review_count,features,notes
수수밀소,대구,가창,한식당,대구 달성군 가창면,053-000-0000,,,210,한옥;정원;마당;통창;독채;주차;외곽;실내대체;포토존,제이드 기준 사례. 한옥 분위기 독채 공간 웨딩·돌상 전환 적합
팔공산 그린가든카페,대구,팔공산,카페,대구 동구 팔공산로,,,,160,정원;마당;통창;주차;외곽;야외;실내대체,넓은 정원과 통창 평일 한산
수성못 베이커리라운지,대구,수성구,베이커리카페,대구 수성구,,jade_bakery,,420,대형;통창;도심;포토존,대형 베이커리 도심 인스타 활발
경주 고택 다원,경북,경주,전통찻집,경북 경주시 교동,,,,90,한옥;고택;마당;좌식;외곽;주차,전통 고택 좌식 공간 조용함
영덕 오션테라스,경북,영덕,카페,경북 영덕군 해안로,,,,140,오션뷰;테라스;통창;주차;외곽;야외,바다 통창 선셋 뷰
안동 숲속산방,경북,안동,카페,경북 안동시,,,,70,숲;통창;외곽;주차;야외,숲속 프라이빗 조도 낮음
기장 선셋클리프,부산,기장,레스토랑,부산 기장군 일광,,sunset_cliff_busan,,510,오션뷰;테라스;통창;주차;포토존;대관,오션뷰 명소 대관 문구 다수
해운대 루프탑202,부산,해운대,루프탑카페,부산 해운대구,,,,300,루프탑;도심;통창;포토존,도심 야경 루프탑
양산 독채스테이마당,경남,양산,독채식당,경남 양산시,,,,110,독채;마당;정원;주차;외곽;실내대체;룸,단독 독채 마당 프라이빗
남해 바다정원,경남,남해,카페,경남 남해군,,,,130,오션뷰;정원;테라스;주차;외곽;야외,바다와 정원 동시
통영 갤러리카페 물결,경남,통영,갤러리카페,경남 통영시,,,,95,갤러리;통창;도심;포토존,갤러리 복합문화공간
강릉 안목 글라스하우스,강원,강릉,브런치카페,강원 강릉시 안목해변,,glass_house_gn,,260,오션뷰;통창;테라스;주차;포토존,오션뷰 브런치 인스타 활발
평창 목장카페 들풀,강원,평창,농장카페,강원 평창군,,,,60,목장;농장;정원;외곽;주차;야외;체험,목장 체험 러스틱
제이드웨딩컨벤션,대구,수성구,웨딩홀,대구 수성구,,,,1500,웨딩홀;대관;도심;주차,전문 웨딩홀 (제외 대상)
부산하우스웨딩하우스,부산,해운대,하우스웨딩,부산 해운대구,,,,800,하우스웨딩;대관;정원;주차,하우스웨딩 전문 (제외 대상)
