월,지역,성수기,웨딩홀계수,예상돌잔치수요,웨딩홀수용가능,숨은공간필요수요,확보숨은공간,부족분,추천액션
2025-01,강원,비수기,0.9,101.0,81.0,20.0,25.0,0.0,
2025-01,경남,비수기,0.9,317.5,144.0,173.5,45.0,128.5,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-01,경북,비수기,0.9,230.8,126.0,104.8,35.0,69.8,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2025-01,대구,비수기,0.9,259.7,180.0,79.7,50.0,29.7,"정원형 2곳, 프라이빗 독채형 1곳"
2025-01,부산,비수기,0.9,346.4,198.0,148.4,60.0,88.4,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2025-02,강원,비수기,0.9,101.5,81.0,20.5,25.0,0.0,
2025-02,경남,비수기,0.9,319.4,144.0,175.4,45.0,130.4,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2025-02,경북,비수기,0.9,232.5,126.0,106.5,35.0,71.5,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2025-02,대구,비수기,0.9,261.4,180.0,81.4,50.0,31.4,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2025-02,부산,비수기,0.9,348.6,198.0,150.6,60.0,90.6,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2025-03,강원,성수기,0.5,100.2,45.0,55.2,25.0,30.2,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2025-03,경남,성수기,0.5,315.4,80.0,235.4,45.0,190.4,"정원형 10곳, 프라이빗 독채형 7곳, 한옥/고택형 3곳"
2025-03,경북,성수기,0.5,229.2,70.0,159.2,35.0,124.2,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-03,대구,성수기,0.5,257.8,100.0,157.8,50.0,107.8,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-03,부산,성수기,0.5,344.0,110.0,234.0,60.0,174.0,"정원형 9곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2025-04,강원,성수기,0.5,97.2,45.0,52.2,25.0,27.2,"정원형 2곳, 프라이빗 독채형 1곳"
2025-04,경남,성수기,0.5,305.6,80.0,225.6,45.0,180.6,"정원형 10곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2025-04,경북,성수기,0.5,222.2,70.0,152.2,35.0,117.2,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-04,대구,성수기,0.5,250.0,100.0,150.0,50.0,100.0,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2025-04,부산,성수기,0.5,333.4,110.0,223.4,60.0,163.4,"정원형 8곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2025-05,강원,성수기,0.5,93.1,45.0,48.1,25.0,23.1,"정원형 2곳, 프라이빗 독채형 1곳"
2025-05,경남,성수기,0.5,292.9,80.0,212.9,45.0,167.9,"정원형 8곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2025-05,경북,성수기,0.5,213.0,70.0,143.0,35.0,108.0,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-05,대구,성수기,0.5,239.5,100.0,139.5,50.0,89.5,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2025-05,부산,성수기,0.5,319.4,110.0,209.4,60.0,149.4,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2025-06,강원,비수기,0.9,89.1,81.0,8.1,25.0,0.0,
